epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
51,1964.44,0.27385,0.27035,0.78902,0.99969,1,0.995,0.97785,0.2382,0.2488,0.80058,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101,0.00303,0.00101
52,1994.87,0.26834,0.2682,0.78648,0.99961,1,0.995,0.97692,0.23305,0.25384,0.80108,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902,0.0029706,0.0009902
53,2025.69,0.27028,0.27267,0.79312,0.9996,1,0.995,0.9797,0.23592,0.25545,0.80019,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704,0.0029112,0.0009704
54,2056.25,0.26397,0.25478,0.79322,0.99972,1,0.995,0.97911,0.24725,0.24436,0.7997,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506,0.0028518,0.0009506
55,2087.49,0.26955,0.27138,0.79009,0.99966,1,0.995,0.97926,0.23301,0.23881,0.80155,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308,0.0027924,0.0009308
56,2118.04,0.26712,0.26087,0.79698,0.99959,1,0.995,0.98406,0.23279,0.2339,0.80173,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911,0.002733,0.000911
57,2151.31,0.26729,0.26331,0.79968,0.99962,1,0.995,0.97894,0.23242,0.23444,0.80067,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912,0.0026736,0.0008912
58,2183.44,0.25779,0.24991,0.79525,0.9997,1,0.995,0.97908,0.22754,0.23498,0.79984,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714,0.0026142,0.0008714
59,2216.04,0.25906,0.24898,0.78963,0.99975,1,0.995,0.98362,0.21988,0.23869,0.80002,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516,0.0025548,0.0008516
60,2250.92,0.25988,0.2533,0.79646,0.9997,1,0.995,0.98232,0.23444,0.23687,0.79989,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318,0.0024954,0.0008318
61,2282.5,0.25166,0.24552,0.78744,0.99972,1,0.995,0.98555,0.21834,0.22842,0.79907,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812,0.002436,0.000812
62,2312.35,0.25478,0.24932,0.78706,0.99973,1,0.995,0.98224,0.2271,0.23578,0.79858,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922,0.0023766,0.0007922
63,2345.95,0.25419,0.24913,0.78759,0.9997,1,0.995,0.98263,0.21808,0.22621,0.79653,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724,0.0023172,0.0007724
64,2377.34,0.25738,0.2452,0.79679,0.99973,1,0.995,0.98332,0.22304,0.22532,0.79722,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526,0.0022578,0.0007526
65,2407.78,0.24718,0.24141,0.79187,0.99977,1,0.995,0.98463,0.21763,0.2187,0.79665,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328,0.0021984,0.0007328
66,2441.6,0.24312,0.23299,0.79045,0.99976,1,0.995,0.98505,0.22074,0.22184,0.79596,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713,0.002139,0.000713
